sale_date,region,product_line,units_sold,revenue_ngn
1/1/2025,Ibadan,Tomato Paste,418,165402.67
1/2/2025,Ibadan,Salt,313,136781.9
1/3/2025,Abuja,Tomato Paste,216,117992.72
1/4/2025,Ibadan,Tomato Paste,485,117459.92
1/5/2025,Kano,Salt,443,151271.06
1/6/2025,Lagos,Salt,171,137784
1/7/2025,Kano,Tomato Paste,494,96353.58
1/8/2025,Lagos,Seasoning,163,162823.53
1/9/2025,Lagos,Tomato Paste,304,119537.76
1/10/2025,Kano,Tomato Paste,308,120991.87
1/11/2025,Kano,Tomato Paste,171,148959.35
1/12/2025,Kano,Tomato Paste,376,127497.11
1/13/2025,Kano,Salt,373,153062.64
1/14/2025,Abuja,Tomato Paste,419,199336.52
1/15/2025,Ibadan,Seasoning,437,140523.56
1/16/2025,Lagos,Salt,465,123510.52
1/17/2025,Kano,Seasoning,194,154537.67
1/18/2025,Kano,Seasoning,265,130619.21
1/19/2025,Kano,Seasoning,131,150593.79
1/20/2025,Abuja,Seasoning,110,157890.9
1/21/2025,Kano,Salt,400,149120.08
1/22/2025,Kano,Salt,316,151413.97
1/23/2025,Kano,Seasoning,388,154802.26
1/24/2025,Ibadan,Seasoning,201,189927.82
1/25/2025,Abuja,Salt,491,143677.02
1/26/2025,Kano,Salt,366,153185.86
1/27/2025,Lagos,Salt,313,171671.23
1/28/2025,Lagos,Tomato Paste,278,161775.92
1/29/2025,Lagos,Tomato Paste,187,141044.77
1/30/2025,Abuja,Tomato Paste,140,172546.59
1/31/2025,Abuja,Seasoning,175,128218.83
2/1/2025,Lagos,Tomato Paste,476,144331.26
2/2/2025,Kano,Seasoning,145,130722.84
2/3/2025,Abuja,Seasoning,259,164404.36
2/4/2025,Lagos,Tomato Paste,179,179739.99
2/5/2025,Lagos,Seasoning,409,155583.4
2/6/2025,Kano,Tomato Paste,185,151881.65
2/7/2025,Ibadan,Tomato Paste,191,128124.78
2/8/2025,Abuja,Salt,247,132436.22
2/9/2025,Kano,Tomato Paste,260,120168.5
2/10/2025,Lagos,Salt,301,95582.97
2/11/2025,Lagos,Tomato Paste,341,140224.15
2/12/2025,Kano,Tomato Paste,452,142547.37
2/13/2025,Abuja,Salt,101,204321.06
2/14/2025,Ibadan,Salt,324,189070.34
2/15/2025,Ibadan,Tomato Paste,388,163891.01
2/16/2025,Lagos,Seasoning,332,202111.93
2/17/2025,Abuja,Salt,176,184772.59
2/18/2025,Ibadan,Seasoning,215,99810.8
2/19/2025,Abuja,Seasoning,253,176686.4
2/20/2025,Abuja,Seasoning,202,167786.36
2/21/2025,Lagos,Salt,293,142765.55
2/22/2025,Ibadan,Seasoning,265,114619.94
2/23/2025,Kano,Salt,458,164885.03
2/24/2025,Lagos,Seasoning,189,98021.81
2/25/2025,Ibadan,Tomato Paste,273,149463.13
2/26/2025,Ibadan,Tomato Paste,221,134572.74
2/27/2025,Ibadan,Salt,242,118528.95
2/28/2025,Ibadan,Tomato Paste,205,179720.03
3/1/2025,Ibadan,Tomato Paste,474,148967.29
3/2/2025,Abuja,Seasoning,404,154349.16
3/3/2025,Lagos,Salt,459,172696.8
3/4/2025,Abuja,Seasoning,416,149780.24
3/5/2025,Kano,Seasoning,222,161285.28
3/6/2025,Ibadan,Seasoning,489,170396.29
3/7/2025,Lagos,Seasoning,108,164168.9
3/8/2025,Ibadan,Seasoning,361,157149.5
3/9/2025,Lagos,Seasoning,172,194577.82
3/10/2025,Abuja,Seasoning,458,181049.26
3/11/2025,Lagos,Salt,322,147855.92
3/12/2025,Kano,Tomato Paste,140,127257.68
3/13/2025,Kano,Seasoning,469,165965.59
3/14/2025,Lagos,Seasoning,303,155396.52
3/15/2025,Lagos,Seasoning,363,192724.89
3/16/2025,Lagos,Seasoning,427,174687.33
3/17/2025,Lagos,Seasoning,277,169105.11
3/18/2025,Kano,Seasoning,447,150323.79
3/19/2025,Ibadan,Tomato Paste,417,128107.53
3/20/2025,Lagos,Tomato Paste,183,145050.93
3/21/2025,Lagos,Seasoning,417,161920.7
3/22/2025,Kano,Tomato Paste,210,106760.5
3/23/2025,Kano,Salt,350,181042.85
